LSOA21CD,Population,Households,Working_population,Students,Unemployed,Age_over_65,Disability,No_central_heating,Overcrowding,Working_from_home
E01033765,1500,718,600,126,4.6215139,14.4850498,26.4,15,22,141
E01006432,1564,672,640,85,3.9872408,16.5389527,24.2327366,12,17,99
E01006606,1517,686,663,49,3.7337662,18.013245,24.4561635,12,16,142
E01006793,1381,722,583,49,2.7657736,26.121563,20.3475742,18,10,188
E01006613,1261,604,522,75,2.6876738,23.7341772,29.5003965,14,17,111
E01006823,1324,582,546,44,1.4453478,32.3773585,18.5800604,6,4,185
E01006775,1479,666,589,64,3.5390947,20.0811359,30.6964165,13,28,120
E01034407,1249,703,979,197,2.5430681,0.8012821,9.6076861,16,11,313
E01006651,1615,632,894,85,2.5974026,12.8173375,14.8606811,3,9,258
E01006761,1433,703,556,78,8.7458746,17.5524476,29.030007,31,25,106
E01006795,1444,642,717,60,2.6165168,22.2453222,16.2049861,6,11,278
E01006705,1296,616,545,66,4.0117417,13.2148377,23.5339506,20,24,81
E01006582,1716,610,810,167,1.9203414,19.1365228,13.2867133,3,11,347
E01034408,1287,742,760,132,3.0150754,12.5291829,19.036519,34,23,282
E01006653,1809,783,778,106,2.6027397,13.8580931,25.4284135,12,20,168
E01006763,1462,646,610,87,3.1830239,14.5591251,22.6402189,19,22,118
E01006797,1368,626,597,59,3.5262206,16.2280702,24.122807,5,16,146
E01006598,1712,702,556,87,5.3467001,11.9089317,24.5911215,8,28,89
E01006824,1232,517,567,60,1.0773751,25.9529603,17.2077922,0,5,190
E01006798,1306,575,603,47,2.6833631,27.3006135,18.9127106,9,8,201
E01006764,1563,682,603,105,4.723779,13.8942001,25.7837492,22,42,122
E01006655,1834,729,857,97,2.5412088,14.9318801,21.3195202,17,26,164
E01006599,1878,712,778,109,4.7692308,6.3965885,19.2225772,9,39,147
E01033751,2488,858,1104,1127,2.1258858,5.1467632,17.9662379,47,15,378
E01006589,1455,579,745,77,1.5599343,22.7743271,16.975945,8,8,271
E01006825,1477,628,616,60,1.7770598,30.9103261,15.3012864,2,4,208
E01006799,1688,1047,616,45,2.2193211,40.4507711,33.1161137,19,9,186
E01006765,1493,653,699,81,5.0970874,13.1860776,23.8446082,32,21,148
E01006658,1394,644,527,51,3.9215686,15.8878505,26.9727403,10,26,82
E01006672,1895,777,725,88,3.8406828,13.487882,24.9604222,10,30,111
